"genes";"logFC";"unshrunk.logFC";"logCPM";"PValue";"FDR"
"LY6E";3,52976131972794;3,5300001323793;8,85286117487142;1,05916299905751e-51;1,50009255556516e-47
"USP18";4,43442160981184;4,4386476648971;6,57450855522887;2,43888240782792e-46;1,70607584057409e-42
"OAS2";3,43780627983117;3,43810904114674;8,5521952731182;3,613801822864e-46;1,70607584057409e-42
"SPATS2L";4,48444717227519;4,49801400455033;3,7858481545093;2,98295304154952e-45;1,05618909818665e-41
"IFI44";4,22887241350743;4,22934087417329;8,48275829274048;8,63664328478913e-45;2,44641557684937e-41
"HERC6";2,73644052676178;2,73814094217561;5,33521637198185;1,25597521703313e-44;2,96472949980669e-41
"OAS1";3,37705650424986;3,37725491015737;9,13094268206993;2,36258733788086e-43;4,78018920948667e-40
"IFI44L";5,03865760198358;5,03983622183913;7,94580311071104;5,0357812552226e-43;8,91522123971471e-40
"XAF1";3,1661839725347;3,16662417787869;7,62369990106853;2,65839265741867e-40;4,01630334530095e-37
"OAS3";3,83249768302543;3,83281785214398;9,3231771581023;2,83577161992583e-40;4,01630334530095e-37
"SIGLEC1";5,03835795514409;5,07334178135263;3,26994118584996;6,17559273398955e-39;7,95135635377219e-36
"CMPK2";4,15661928238655;4,157510366189;7,94487766056457;7,56358221702059e-39;8,92691791163855e-36
"IFI6";3,6187332578396;3,61884358130195;10,6530056894411;3,6304822852819e-38;3,95527081588058e-35
"CCL2";5,13172293985408;5,17139523569021;4,46316687893921;4,65398005175709e-38;4,45411738291288e-35
"MS4A4A";2,71735952505021;2,71997131304023;3,90604380490908;4,71734524773658e-38;4,45411738291288e-35
"ISG15";4,34483515917957;4,34521035036861;10,1751532454101;1,36360817364875e-37;1,20704891021171e-34
"MX1";3,35601407869698;3,35613317138743;10,5237771538255;1,06778686288822e-36;8,89592078769757e-34
"HESX1";4,66379964744664;4,75426366051229;2,80109739275637;1,22534439242537e-36;9,64141812773362e-34
"IFI27";5,74737418797051;5,75460492633757;6,51524477461756;2,21126968232289e-36;1,64832697424942e-33
"DDX60";2,32790449909394;2,32835431294421;6,95282051981627;4,32498088648384e-36;3,06273521476353e-33
"RSAD2";4,86595872448832;4,86647204749728;9,89463383443035;4,62809189631462e-36;3,12131740607162e-33
"TCN2";2,94493446631017;2,94783833468149;4,06769704774335;5,19028920059958e-36;3,34136663400418e-33
"CTSL1";2,38578708724931;2,38704100148676;4,62216374732751;1,29309779964404e-35;7,96267136363416e-33
"LGALS3BP";2,32417232841285;2,32486938336432;5,88948795601524;2,77717357571184e-35;1,63887955636695e-32
"RTP4";2,63142149177226;2,63218293372957;6,4330628732008;2,56468596849335e-34;1,45294589487085e-31
"IFIT1";4,10521595874301;4,1056118445627;9,52465137466501;3,08229846432954e-34;1,67902281347305e-31
"OASL";3,17639431208557;3,17762876088305;7,07264774644466;3,74824758335874e-34;1,96616409344851e-31
"DHX58";2,4754618829942;2,47660789892609;6,13196216258164;6,99638391832286e-34;3,53892090840024e-31
"IRF7";2,51848662840225;2,51864663284317;8,83305374720203;7,78433251877455e-34;3,80170694701393e-31
"RIN2";2,2216795638261;2,22218614335482;6,66990011766916;2,18032689752228e-33;1,02933232832027e-30
"EPSTI1";3,1448091444146;3,14523676030642;7,7857560201507;2,72024900512303e-33;1,2428027954696e-30
"TRIM6";3,39618051291833;3,41857256006451;1,94884909612131;5,76409135226515e-33;2,55115080694161e-30
"HERC5";3,36863524813714;3,3690961676116;8,91268404839224;1,27360200701253e-32;5,46606825009648e-30
"C2";3,00033241160474;3,0058165460599;3,32818499511578;6,16652818725705e-31;2,56872172694475e-28
"PARP12";2,13724204520942;2,13759453860595;7,26602432292315;2,02027765018981e-30;8,17519781703951e-28
"EIF2AK2";2,17161572727608;2,17173579653634;8,85485138246704;1,02005169892195e-29;4,01305339217545e-27
"HES4";3,51008770254875;3,52559474307538;3,71344483980869;3,06014266149366e-29;1,17137298688472e-26
"SAMD9L";2,51303849296178;2,51359154630329;6,83910443364913;1,31761303631093e-28;4,91088248243993e-26
"MT2A";2,89522243309914;2,89537221878467;9,59071280591656;1,67800473785766e-28;6,09373874417384e-26
"PLSCR1";2,34833177255818;2,34863997288786;7,35349987904634;2,56524956853857e-28;9,08290740980294e-26
"IFI35";2,19224296425306;2,19245736470109;8,28551071177052;6,1923850904173e-28;2,13909146428245e-25
"IFIT5";2,19919736337819;2,1996199774997;6,96615300728826;1,19448222981082e-27;4,02796471924062e-25
"CD300E";1,86846918055913;1,86877267639159;6,39003397591303;1,44861221559499e-27;4,77132437429578e-25
