"genes";"logFC";"unshrunk.logFC";"logCPM";"PValue";"FDR"
"IFI27";5,21873221018564;5,22172167705977;7,77928107335615;6,4804337354299e-29;8,6617477307756e-25
"CTSL1";2,73445733037374;2,73667539776759;4,66688125624759;3,65488109067973e-27;2,44255703290127e-23
"EPHB2";2,13258369628859;2,14076534371404;2,81159363277077;1,45521695707544e-25;6,4834766160901e-22
"HERC6";2,38306346167091;2,38472555506173;5,44415519162016;3,24953722468745e-25;1,08583286362931e-21
"TCN2";2,98576237503613;2,98902858747591;4,46803011636676;4,49339634352571e-25;1,20117471055129e-21
"RIN2";2,20834904526302;2,20901475422502;6,68393283375178;1,72345570366532e-23;3,83928482253178e-20
"MS4A4A";2,77823419738457;2,78128878546369;4,45559123319991;2,63881626547373e-23;5,03863117204597e-20
"LGALS3BP";2,24119787857051;2,24215183236422;5,67416290342356;1,98965705539129e-21;3,324219525295e-18
"C1QB";3,50224936087711;3,5109400601096;3,34009707453479;2,46493082770782e-20;3,6606961603492e-17
"OAS1";2,62772246421127;2,62793608506447;8,76361763094271;1,0442519950233e-19;1,39574721654815e-16
"C1QC";3,83880093908486;3,88766579600015;1,37038379346427;1,23913553910957e-19;1,5056623287035e-16
"C2";2,71640646719588;2,72340111488308;3,240155235228;1,65346688323231e-19;1,84168653010692e-16
"CNTNAP3";-3,45573841060457;-3,46206641410136;3,80923848854604;1,94101254055655e-19;1,99565950900607e-16
"CD300E";1,90962829853179;1,90993837801458;6,9664151740538;2,80469315759256e-19;2,67768062459873e-16
"XAF1";2,6496551735833;2,65014844483718;7,32774614373294;1,22311491020506e-18;1,08987692598672e-15
"IFI30";1,43696206330051;1,43697896827947;10,4396847111972;2,03604031943881e-18;1,70085718185119e-15
"LY6E";2,54908194441126;2,54916924484387;9,76788777226777;2,30789674214556e-18;1,81454987385397e-15
"EIF3L";-1,11066401353939;-1,11080067533969;6,7536580318041;2,92682605209354e-18;2,17333094512679e-15
"FAM70A";3,09213190806577;3,12035900690829;2,24731678147966;3,87394975704679e-18;2,72522170803618e-15
"RTP4";2,20154323356914;2,2024055162315;6,1818139923979;5,52308236102403e-18;3,69107594187236e-15
"RUFY4";2,58830384284707;2,6105726724063;2,10601982411404;5,97114542641542e-18;3,80049189378422e-15
"CAMK1D";-1,09565949585886;-1,09601697907783;5,49703873567724;1,2180194429132e-17;7,40002176089901e-15
"LOC283070";-1,31359902526614;-1,31413383450475;5,20119180416677;1,42646778653214e-17;8,2896384499081e-15
"SPATS2L";3,39626020265866;3,40306188287343;4,43180457856087;1,68684334092767e-17;9,39431170618299e-15
"STAC3";1,72758115117286;1,73428001843;2,48638999172436;2,48950317587671e-17;1,33098797795072e-14
"CFB";3,5660473382461;3,76197592925616;0,217733771131411;3,79088056830388e-17;1,94880421830575e-14
"EPSTI1";2,50152087070802;2,50192595858874;7,68786557572902;5,18859924185078e-17;2,56854879505843e-14
"PLAC8";1,30691786458853;1,30698896281454;8,33158820527949;6,18835152916402e-17;2,95405380495737e-14
"FMNL2";2,06186047504029;2,07203433413093;2,38222221395576;9,57179213611815e-17;4,41160598935708e-14
"CMPK2";2,83050253261965;2,8311323136312;7,61402832694559;1,19696975626439e-16;5,33289925407663e-14
"LGALS9";1,32886301968004;1,32904784955421;7,18844726187008;1,56801912170442e-16;6,76069147764559e-14
"CMKLR1";3,02356244888959;3,06043821450783;1,47279411911918;1,76153551315581e-16;7,35771364651269e-14
"MAFB";1,55907451040841;1,55970399856451;5,63883154578058;3,19548303921242e-16;1,2942674637004e-13
"ADAMTS5";-3,50236349069625;-3,80124510824448;-0,873199877767407;6,06827635785359e-16;2,38554652350209e-13
"IFI44";2,87529460895736;2,87553615958045;8,59422976877332;8,47611469779924e-16;3,15680371971172e-13
"CCL2";4,04457593997782;4,05454410891436;5,1443969234909;8,50253882310503e-16;3,15680371971172e-13
"DDX60";1,96179103191804;1,96229403521182;6,90952085302592;1,02762692056686e-15;3,7122328162964e-13
"EPB41L3";1,38575690230728;1,38639908963567;5,23639108996952;1,19827617475371e-15;4,21477877677843e-13
"FAM225A";2,32012747984591;2,33728612510242;1,71367961504203;1,3231109994066e-15;4,50676862370822e-13
"LINC00487";3,60798648624793;3,87414935494049;-0,285466788962615;1,3487262079031e-15;4,50676862370822e-13
"IFI44L";3,40174777554559;3,40265373921037;7,13103238943163;1,5024511427681e-15;4,89799072542402e-13
"MYO7B";2,8137032519101;2,84389692340641;1,10886952554997;3,51044940621167e-15;1,1171587324625e-12
"USP18";2,9111778810743;2,91298475775719;6,83020925682765;4,1679978881132e-15;1,29556883191909e-12
"GRAMD1C";-2,01337818212088;-2,0267275352836;1,55847241289736;4,98022677558644e-15;1,51285707005655e-12
